"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TP603","M3_NUT","3458mil","1233mil","3458mil","1233mil","3458mil","1233mil","T","0.00","socket"
"C125","CAP0603N","1412mil","2609.496mil","1412mil","2578mil","1412mil","2578mil","T","90.00","0.1uF"
"C126","CAP0603N","935mil","2610.535mil","935mil","2579.039mil","935mil","2579.039mil","T","90.00","0.1uF"
"R110","RES0603N","720.505mil","2206.198mil","753.97mil","2206.198mil","753.97mil","2206.198mil","T","180.00","10K"
"R111","RES0603N","720.505mil","2386.8mil","753.97mil","2386.8mil","753.97mil","2386.8mil","T","180.00","330R"
"R112","RES0603N","720.505mil","2326.598mil","687.04mil","2326.598mil","687.04mil","2326.598mil","T","0.00","10K"
"R113","RES0603N","1042mil","2315.535mil","1042mil","2349mil","1042mil","2349mil","B","270.00","10K"
"R114","RES0603N","1478mil","2609.465mil","1478mil","2576mil","1478mil","2576mil","T","90.00","10R"
"R115","RES0603N","1964mil","2630.465mil","1964mil","2597mil","1964mil","2597mil","T","90.00","10R"
"U103","SOP8-8MM","1716.48mil","2627.031mil","1559mil","2702mil","1559mil","2702mil","T","0.00","EPCS16SI8N"
"S102","KEY-4.5","207.016mil","1831.946mil","83mil","1891mil","331.032mil","1891.002mil","T","0.00","NC/SW-PB"
"R309","RES0603N","1555mil","482.465mil","1555mil","449mil","1555mil","449mil","T","90.00","100R"
"R310","RES0603N","1380mil","482.465mil","1380mil","449mil","1380mil","449mil","T","90.00","100R"
"R311","RES0603N","1151mil","482.465mil","1151mil","449mil","1151mil","449mil","T","90.00","100R"
"R312","RES0603N","963mil","482.465mil","963mil","449mil","963mil","449mil","T","90.00","100R"
"R314","RES0603N","804mil","482.465mil","804mil","449mil","804mil","449mil","T","90.00","100R"
"R316","RES0603N","633mil","482.465mil","633mil","449mil","633mil","449mil","T","90.00","100R"
"R317","RES0603N","313mil","482.465mil","313mil","449mil","313mil","449mil","T","90.00","100R"
"R319","RES0603N","128mil","482.465mil","128mil","449mil","128mil","449mil","T","90.00","100R"

